date,time,c,f
12/04/2019,13:08:31,24.094,75.369
12/04/2019,13:38:30,24.188,75.538
12/04/2019,14:08:30,24.27,75.687
12/04/2019,14:38:30,24.271,75.687
12/04/2019,15:08:30,24.271,75.687
12/04/2019,15:38:30,24.343,75.819
12/04/2019,16:08:30,24.406,75.931
12/04/2019,16:38:30,24.646,76.362
12/04/2019,17:08:29,24.729,76.512
12/04/2019,17:38:29,24.729,76.512
12/04/2019,18:08:29,24.708,76.475
12/04/2019,18:38:29,24.75,76.55
12/04/2019,19:08:29,24.75,76.55
12/04/2019,19:38:28,24.75,76.55
12/04/2019,20:08:28,24.74,76.531
12/04/2019,20:38:28,24.687,76.437
12/04/2019,21:08:28,24.739,76.531
12/04/2019,21:38:28,24.729,76.512
12/04/2019,22:08:28,24.802,76.644
12/04/2019,22:38:28,24.843,76.719
12/04/2019,23:08:27,24.833,76.7
12/04/2019,23:38:27,24.896,76.812
12/05/2019,00:08:28,24.854,76.737
12/05/2019,00:38:28,24.875,76.775
12/05/2019,01:08:29,24.823,76.681
12/05/2019,01:38:29,24.812,76.662
12/05/2019,02:08:28,24.906,76.831
12/05/2019,02:38:28,24.864,76.756
12/05/2019,03:08:28,24.875,76.775
12/05/2019,03:38:28,24.844,76.719
12/05/2019,04:08:28,24.844,76.719
12/05/2019,04:38:28,24.844,76.719
12/05/2019,05:08:28,24.833,76.7
12/05/2019,05:38:27,24.823,76.681
12/05/2019,06:08:27,24.812,76.662
12/05/2019,06:38:28,24.844,76.719
12/05/2019,07:08:28,24.76,76.569
12/05/2019,07:38:29,24.729,76.512
12/05/2019,08:08:28,24.698,76.456
12/05/2019,08:38:28,24.719,76.494
12/05/2019,09:08:28,24.718,76.494
12/05/2019,09:38:28,24.666,76.4
12/05/2019,10:08:28,24.687,76.437
12/05/2019,10:38:27,24.625,76.325
12/05/2019,11:08:27,24.614,76.306
12/05/2019,11:38:27,24.666,76.4
12/05/2019,12:08:27,24.677,76.418
12/05/2019,12:38:27,24.646,76.362
12/05/2019,13:08:27,24.708,76.475
12/05/2019,13:38:26,24.646,76.362
12/05/2019,14:08:26,24.718,76.493
12/05/2019,14:38:26,24.718,76.493
12/05/2019,15:08:26,24.625,76.325
12/05/2019,15:38:26,24.646,76.362
12/05/2019,16:08:26,24.583,76.25
12/05/2019,16:38:26,24.615,76.306
12/05/2019,17:08:25,24.614,76.306
12/05/2019,17:38:25,24.573,76.231
12/05/2019,18:08:25,24.614,76.306
12/05/2019,18:38:25,24.562,76.212
12/05/2019,19:08:25,24.573,76.231
12/05/2019,19:38:25,24.552,76.194
12/05/2019,20:08:25,24.594,76.269
12/05/2019,20:38:24,24.583,76.25
12/05/2019,21:08:24,24.562,76.212
12/05/2019,21:38:24,24.635,76.344
