11/29/2019 00:32:38 -> 20.625, 69.125 (c, f)
11/29/2019 01:02:38 -> 20.062, 68.112 (c, f)
11/29/2019 01:32:38 -> 19.739, 67.531 (c, f)
11/29/2019 02:02:37 -> 19.427, 66.968 (c, f)
11/29/2019 02:32:37 -> 19.437, 66.987 (c, f)
11/29/2019 03:02:37 -> 19.677, 67.419 (c, f)
11/29/2019 03:32:37 -> 19.812, 67.662 (c, f)
11/29/2019 04:02:37 -> 19.875, 67.775 (c, f)
11/29/2019 04:32:36 -> 19.802, 67.644 (c, f)
11/29/2019 05:02:36 -> 19.656, 67.381 (c, f)
11/29/2019 05:32:37 -> 20.458, 68.825 (c, f)
11/29/2019 06:02:37 -> 20.604, 69.087 (c, f)
11/29/2019 06:32:36 -> 19.666, 67.4 (c, f)
11/29/2019 07:02:36 -> 19.125, 66.425 (c, f)
11/29/2019 07:32:37 -> 18.739, 65.731 (c, f)
11/29/2019 08:02:37 -> 18.448, 65.206 (c, f)
11/29/2019 08:32:36 -> 18.385, 65.093 (c, f)
11/29/2019 09:02:36 -> 20.072, 68.131 (c, f)
11/29/2019 09:32:37 -> 20.823, 69.481 (c, f)
11/29/2019 10:02:37 -> 20.833, 69.5 (c, f)
11/29/2019 10:32:36 -> 20.927, 69.668 (c, f)
11/29/2019 11:02:36 -> 20.593, 69.069 (c, f)
11/29/2019 11:32:36 -> 19.979, 67.962 (c, f)
