11/29/2019 00:02:39 -> 20.937, 69.687 (c, f)
11/29/2019 00:07:39 -> 20.75, 69.35 (c, f)
11/29/2019 00:12:39 -> 20.75, 69.35 (c, f)
11/29/2019 00:17:39 -> 20.5, 68.9 (c, f)
11/29/2019 00:22:39 -> 20.437, 68.787 (c, f)
11/29/2019 00:27:39 -> 20.375, 68.675 (c, f)
11/29/2019 00:32:39 -> 20.25, 68.45 (c, f)
11/29/2019 00:37:39 -> 20.125, 68.225 (c, f)
11/29/2019 00:42:39 -> 20.125, 68.225 (c, f)
11/29/2019 00:47:39 -> 20.0, 68.0 (c, f)
11/29/2019 00:52:39 -> 19.937, 67.887 (c, f)
11/29/2019 00:57:39 -> 19.937, 67.887 (c, f)
11/29/2019 01:02:39 -> 19.875, 67.775 (c, f)
11/29/2019 01:07:39 -> 19.812, 67.662 (c, f)
11/29/2019 01:12:39 -> 19.812, 67.662 (c, f)
11/29/2019 01:17:39 -> 19.687, 67.437 (c, f)
11/29/2019 01:22:38 -> 19.625, 67.325 (c, f)
11/29/2019 01:27:38 -> 19.625, 67.325 (c, f)
11/29/2019 01:32:38 -> 19.5, 67.1 (c, f)
11/29/2019 01:37:38 -> 19.437, 66.987 (c, f)
11/29/2019 01:42:38 -> 19.5, 67.1 (c, f)
11/29/2019 01:47:38 -> 19.437, 66.987 (c, f)
11/29/2019 01:52:38 -> 19.375, 66.875 (c, f)
11/29/2019 01:57:38 -> 19.312, 66.762 (c, f)
11/29/2019 02:02:38 -> 19.187, 66.537 (c, f)
11/29/2019 02:07:38 -> 19.125, 66.425 (c, f)
11/29/2019 02:12:38 -> 19.187, 66.537 (c, f)
11/29/2019 02:17:38 -> 19.5, 67.1 (c, f)
11/29/2019 02:22:38 -> 19.812, 67.662 (c, f)
11/29/2019 02:27:38 -> 19.812, 67.662 (c, f)
11/29/2019 02:32:38 -> 19.625, 67.325 (c, f)
11/29/2019 02:37:38 -> 19.5, 67.1 (c, f)
11/29/2019 02:42:38 -> 19.437, 66.987 (c, f)
11/29/2019 02:47:38 -> 19.687, 67.437 (c, f)
11/29/2019 02:52:38 -> 19.875, 67.775 (c, f)
11/29/2019 02:57:38 -> 19.937, 67.887 (c, f)
11/29/2019 03:02:38 -> 19.75, 67.55 (c, f)
11/29/2019 03:07:38 -> 19.625, 67.325 (c, f)
11/29/2019 03:12:38 -> 19.625, 67.325 (c, f)
11/29/2019 03:17:38 -> 19.75, 67.55 (c, f)
11/29/2019 03:22:38 -> 20.187, 68.337 (c, f)
11/29/2019 03:27:38 -> 19.937, 67.887 (c, f)
11/29/2019 03:32:38 -> 19.812, 67.662 (c, f)
11/29/2019 03:37:38 -> 19.625, 67.325 (c, f)
11/29/2019 03:42:38 -> 19.687, 67.437 (c, f)
11/29/2019 03:47:38 -> 20.0, 68.0 (c, f)
11/29/2019 03:52:38 -> 20.125, 68.225 (c, f)
11/29/2019 03:57:38 -> 20.0, 68.0 (c, f)
11/29/2019 04:02:37 -> 19.875, 67.775 (c, f)
